date,hls_date,gcc_mean,evi,source_file
9/17/2023,9/17/2023,0.40594,0.772441983,arsltarucbec1_2023
7/8/2023,7/8/2023,0.40648,0.772381008,arsltarucbec1_2023
7/26/2021,7/26/2021,0.3929,0.772185802,arsltarucbec1_2021
7/1/2023,7/1/2023,0.39025,0.772006154,arsltarucbec1_2023
8/26/2022,8/26/2022,0.38602,0.771498084,arsltarmdcr_2022
8/8/2022,8/8/2022,0.40945,0.771099746,goodwaterbau_2022
8/22/2022,8/22/2022,0.38944,0.771036446,arsltarmdcr_2022
9/11/2022,9/11/2022,0.39996,0.770920038,goodwaterbau_2022
7/30/2022,7/30/2022,0.4184,0.770680368,arsbrooks10_2022
8/6/2023,8/6/2023,0.41996,0.770149529,ecb4_2023
9/7/2023,9/7/2023,0.4084,0.769914985,goodwater_2023
7/28/2021,7/28/2021,0.40525,0.769827545,arsope3ltar_2021
8/21/2023,8/21/2023,0.43591,0.769777179,goodwater_2023
8/21/2022,8/21/2022,0.38826,0.769761682,arsltarmdcr_2022
7/27/2021,7/27/2021,0.39329,0.769749999,arsltarucbec1_2021
8/27/2022,8/27/2022,0.38741,0.76959306,arsltarmdcr_2022
8/9/2022,8/9/2022,0.40221,0.769552469,ecb4_2022
8/23/2021,8/23/2021,0.41948,0.769433081,goodwaterbau_2021
7/20/2021,7/20/2021,0.39147,0.769429922,arsltarucbec1_2021
8/8/2021,8/8/2021,0.41389,0.768750668,goodwaterbau_2021
7/9/2023,7/9/2023,0.40816,0.768052995,arsltarucbec1_2023
8/20/2022,8/20/2022,0.38811,0.767949402,arsltarmdcr_2022
9/6/2022,9/6/2022,0.40728,0.767201483,mead1_2022
8/25/2023,8/25/2023,0.38694,0.767144084,ecb2_2023
8/26/2023,8/26/2023,0.3823,0.766772389,ecb2_2023
8/28/2022,8/28/2022,0.38255,0.766700745,arsltarmdcr_2022
7/28/2021,7/28/2021,0.39815,0.766629159,arsltarucbec1_2021
7/30/2023,7/30/2023,0.4296,0.766561687,ecb1_2023
9/25/2023,9/25/2023,0.40339,0.766078472,arsope3ltar_2023
9/13/2022,9/13/2022,0.39037,0.766047299,ecb4_2022
8/24/2023,8/24/2023,0.39247,0.765761375,ecb2_2023
6/30/2023,6/30/2023,0.38149,0.765678525,arsltarucbec1_2023
8/19/2022,8/19/2022,0.39577,0.765621006,arsltarmdcr_2022
9/10/2021,9/10/2021,0.38861,0.765549898,arsope3ltar_2021
8/7/2022,8/7/2022,0.41856,0.765547812,goodwaterbau_2022
7/19/2021,7/19/2021,0.39161,0.765324235,arsltarucbec1_2021
8/20/2021,8/20/2021,0.38004,0.764696181,arsmorris1_2021
8/10/2023,8/10/2023,0.39992,0.764677405,arsope3ltar_2023
8/27/2023,8/27/2023,0.38492,0.764662921,ecb2_2023
8/21/2021,8/21/2021,0.37702,0.764078021,arsmorris1_2021
9/3/2023,9/3/2023,0.40919,0.764061034,ecb1_2023
8/29/2022,8/29/2022,0.3858,0.763582826,arsltarmdcr_2022
8/6/2022,8/6/2022,0.42209,0.763325036,goodwaterbau_2022
8/7/2021,8/7/2021,0.40149,0.762950301,arsmorris3_2021
